PersonName:John Doe,Animal:Dog,Number:42
PersonName:Jane Smith,Animal:Cat,Number:18
PersonName:Bob Johnson,Animal:Elephant,Number:77
PersonName:Alice Brown,Animal:Horse,Number:29
PersonName:David Lee,Animal:Lion,Number:63
PersonName:Emily White,Animal:Giraffe,Number:54
PersonName:Michael Davis,Animal:Zebra,Number:12
PersonName:Lisa Wilson,Animal:Tiger,Number:33
PersonName:Richard Martinez,Animal:Kangaroo,Number:8
PersonName:Susan Clark,Animal:Panda,Number:91
PersonName:William Taylor,Animal:Koala,Number:5
PersonName:Karen Hernandez,Animal:Penguin,Number:72
PersonName:Thomas Jackson,Animal:Monkey,Number:60
PersonName:Linda Adams,Animal:Gorilla,Number:21
PersonName:Charles Walker,Animal:Parrot,Number:15
PersonName:Patricia Lewis,Animal:Dolphin,Number:37
PersonName:Joseph Green,Animal:Octopus,Number:45
PersonName:Maria Turner,Animal:Kitten,Number:30
PersonName:Daniel Scott,Animal:Puppy,Number:49
PersonName:Nancy Hall,Animal:Hamster,Number:27
